,index,Token,ShortName," ""Series""",CompanyName,ticksize," ""Lotsize"""," ""DateOfListing"""," ""DateOfDeListing"""," ""IssuePrice"""," ""FaceValue"""," ""ISINCode"""," ""52WeeksHigh"""," ""52WeeksLow"""," ""LifeTimeHigh"""," ""LifeTimeLow"""," ""HighDate"""," ""LowDate"""," ""Symbol"""," ""InstrumentType"""," ""PermittedToTrade"""," ""IssueCapital"""," ""WarningPercent"""," ""FreezePercent"""," ""CreditRating"""," ""IssueRate"""," ""IssueStartDate"""," ""InterestPaymentDate"""," ""IssueMaturityDate"""," ""BoardLotQty"""," ""Name"""," ""ListingDate"""," ""ExpulsionDate"""," ""ReAdmissionDate"""," ""RecordDate"""," ""ExpiryDate"""," ""NoDeliveryStartDate"""," ""NoDeliveryEndDate"""," ""MFill"""," ""AON"""," ""ParticipantInMarketIndex"""," ""BookClsStartDate"""," ""BookClsEndDate"""," ""EGM"""," ""AGM"""," ""Interest"""," ""Bonus"""," ""Rights"""," ""Dividends"""," ""LocalUpdateDateTime"""," ""DeleteFlag"""," ""Remarks"""," ""NormalMarketStatus"""," ""OddLotMarketStatus"""," ""SpotMarketStatus"""," ""AuctionMarketStatus"""," ""NormalMarketEligibility"""," ""OddLotlMarketEligibility"""," ""SpotMarketEligibility"""," ""AuctionlMarketEligibility"""," ""MarginPercentage"""," ""ExchangeCode"""
20,20,0,INFDRI,EQ,INFO-DRIVE SOFTWARE LIMITED,0.01,1,,,0,1.0,INE804D01029,1.05,0.35,4.98,0.26,,,,0,0,0,0.7,0.6,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,INFODRIVE
21,21,0,ISPIND,EQ,JSW ISPAT STEEL LIMITED,0.01,1,,,0,10.0,INE136A01022,12.8,6.5,87.0,0.5,,,,0,0,0,11.9,8.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,JSWISPAT
22,22,0,ITCHOT,EQ,ITC HOTELS LTD,0.01,1,,,0,10.0,INE379A01010,175.0,91.25,225.0,35.0,,,,0,0,0,194.2,129.45,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ITCHOTEL
23,23,0,JUMBAG,EQ,JUMBO BAG LIMITED,0.01,1,,,0,10.0,INE699D01015,7.8,3.5,0.0,0.0,,,,0,0,0,4.55,4.15,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,JUMBO
24,24,0,KINAIR,BE,KINGFISHER AIRLINES LIMITED,0.01,1,,,0,10.0,INE438H01019,6.75,2.05,334.45,2.05,,,,0,0,0,1.35,1.25,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,KFA
25,25,0,LAKMIL,EQ,LAKSHMI MILLS COMPANY LTD,0.01,1,,,0,100.0,INE938C01019,2815.0,1425.05,3075.0,145.55,,,,0,0,0,2827.7,1885.2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,LAKSHMIMIL
26,26,0,MAWSUG,EQ,xyz,0.01,1,,,0,10.0,INE255G01019,79.9,23.1,85.0,23.1,,,,0,0,0,33.6,22.4,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,MAWANA
27,27,0,MONSIN,EQ,MONSANTO INDIA LIMITED,0.01,1,,,0,10.0,INE274B01011,2942.9,1880.0,3767.0,140.0,,,,0,0,0,2679.15,1786.15,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,MONSANTO
28,28,0,NATSYN,EQ,IOL NETCOM LIMITED,0.01,1,,,0,10.0,INE517C01011,9.25,2.25,630.0,2.25,,,,0,0,0,2.45,2.05,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,IOLN
29,29,0,OCLIND,EQ,OCL INDIA LTD,0.01,1,,,0,2.0,INE290B01025,1624.0,855.3,1624.0,22.88,,,,0,0,0,1086.95,724.65,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,OCL
30,30,0,PARPLA,BE,PAREKH PLATINUM LTD,0.01,1,,,0,10.0,INE598A01015,10.5,2.85,133.0,2.45,,,,0,0,0,2.95,2.75,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,PAREKHPLAT
31,31,0,PARSUG,EQ,PARRYS SUGAR INDUSTRIES LTD,0.01,1,,,0,10.0,INE353B01021,73.0,31.1,374.25,6.2,,,,0,0,0,58.65,39.15,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,PARRYSUGAR
32,32,0,PATCOM,EQ,PATNI COMPUTER SYSTEMS LIMITED,0.01,1,,,0,2.0,INE660F01012,520.7,250.0,624.8,94.0,,,,0,0,0,618.95,412.65,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,PATNI
33,33,0,PRIINF,BE,PRITHVI INFORMATION SOLUTIONS,0.01,1,,,0,10.0,INE700C01013,12.3,2.85,475.0,2.85,,,,0,0,0,1.3,1.2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,PRITHVI
34,34,0,PRILIM,EQ,PRICOL LIMITED NOT TRADED,0.01,1,,,0,1.0,INE605A01026,131.95,33.75,131.95,3.6,,,,0,0,0,109.55,73.05,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,PRICOL
35,35,0,PYRSAI,EQ,PYRAMID SAIMIRA THEATRE LTD,0.01,1,,,0,10.0,INE165H01018,36.75,8.85,549.0,8.85,,,,0,0,0,12.0,8.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,PSTL
36,36,0,RAICAL,EQ,RAIN CALCINING LTD,0.01,1,,,0,10.0,INE329A01015,82.25,31.0,82.25,3.1,,,,0,0,0,80.6,53.75,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,RAINCALCIN
37,37,0,RELENE,EQ,RELIANCE ENERGY VENTURES LTD,0.01,1,,,0,10.0,INE329H01010,48.0,26.0,48.9,26.0,,,,0,0,0,39.4,26.25,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,RENVL
38,38,0,RELGOL,EQ,RELIANCE SHARES GOLD ETF,0.01,1,,,0,100.0,INF733I01010,2777.75,2200.25,3050.0,922.0,,,,0,0,0,3255.95,2170.65,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,RELGOLD
39,39,0,RELNAT,EQ,RELIANCE NATURAL RESOURCES LIM,0.01,1,,,0,5.0,INE328H01012,76.5,36.85,248.25,16.8,,,,0,0,0,50.7,33.8,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,RNRL
40,40,0,RELPET,EQ,RELIANCE PETROLEUM LTD,0.01,1,,,0,10.0,INE475H01011,152.0,68.2,294.95,58.05,,,,0,0,0,157.15,104.8,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,RPL
41,41,0,SARELE,EQ,ORG INFORMATICS LTD.,0.01,1,,,0,10.0,INE686D01012,15.0,5.65,125.0,5.65,,,,0,0,0,11.5,7.7,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ORGINFO
42,42,0,SCISOF,EQ,SCINTILLA SFWARE TECH LTD,0.01,1,,,0,10.0,INE355B01018,0.0,0.0,179.3,0.35,,,,0,0,0,0.9,0.6,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SCINTSOFT
43,43,0,SHPREC,EQ,SHREE PRECOATED STEELS LIMITED,0.01,1,,,0,10.0,INE318K01025,7.8,3.35,44.1,3.35,,,,0,0,0,4.95,3.35,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SHPRE
44,44,0,SILCHE,EQ,SILTAP CHEMICALS LTD,0.01,1,,,0,10.0,INE637A01011,85.0,37.0,265.78,37.0,,,,0,0,0,101.2,67.45,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SILTAPCHEM
45,45,0,SRE114,YN,SEFL INFRA SR10 9.5 LOA 16MR28,0.01,1,,,0,1000.0,INE872A08DJ4,0.0,0.0,1029.0,808.0,,,,0,0,0,1188.0,792.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SREINFRA
46,46,0,SRE115,YO,SEFL INFRA SR11 LOA 16MR28,0.01,1,,,0,1000.0,INE872A08DK2,0.0,0.0,1070.0,918.0,,,,0,0,0,1140.0,760.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SREINFRA
47,47,0,TRELIM,EQ,TREADSDIRECT LIMITED,0.01,1,,,0,1.0,INE321J01013,13.7,6.5,14.95,2.35,,,,0,0,0,11.9,7.95,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,TREADS
48,48,0,TV18,EQ,TELEVISION EIGHTEEN INDIA LTD,0.01,1,,,0,5.0,INE889A01026,101.85,60.0,756.77,42.95,,,,0,0,0,74.5,49.65,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,TV-18
49,49,0,TWILIT,BE,TWILIGHT LITAKA PHARMA LIMITED,0.01,1,,,0,5.0,INE783B01029,7.25,3.2,204.0,2.0,,,,0,0,0,4.55,4.15,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,TWILITAKA
50,50,0,VIJBAN,EQ,VIJAYA BANK,0.01,1,,,0,10.0,INE705A01016,66.0,38.4,115.35,6.0,,,,0,0,0,55.25,36.85,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,VIJAYABANK
51,51,0,VISEXP,EQ,VISHAL EXPORTS,0.01,1,,,0,1.0,INE167C01023,2.0,0.65,11.9,0.65,,,,0,0,0,1.1,0.8,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,VISHALEXPO
52,52,0,VISUAL,EQ,VISUALSOFT TECHNOLOGIES LTD,0.01,1,,,0,10.0,INE755A01011,127.4,58.4,3505.67,57.0,,,,0,0,0,95.95,64.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,VISUALSOFT
53,53,0,VITCOM,EQ,VITAL COMMUNICATIONS LTD,0.01,1,,,0,10.0,INE377B01012,0.0,0.0,67.35,3.0,,,,0,0,0,7.3,4.9,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,VITALCOMM
54,54,0,WARNSD,EQ,WARTSILA NSD INDIA LTD,0.01,1,,,0,10.0,INE057A01012,629.0,250.0,629.0,60.0,,,,0,0,0,733.8,489.2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,WARTSILA
55,55,0,WOCLIF,EQ,CAROL INFO SERVICES LTD,0.01,1,,,0,10.0,INE198A01014,247.0,130.05,1121.05,8.85,,,,0,0,0,194.4,129.6,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,CAROLINFO
56,56,0,ZANREA,EQ,ZANDU REALTY LIMITED,0.01,1,,,0,100.0,INE719A01017,2689.95,1111.0,24687.0,600.0,,,,0,0,0,2092.25,1711.85,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ZANDUREALT
57,57,00,BPLREF,BE,B.S. REFRIGERATORS LTD.,0.01,1,,,0,10.0,INE313A01019,5.5,1.65,34.5,1.0,,,,0,0,0,3.0,2.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,BPLREFRIG
58,58,00,CREBOS,BE,CREW BOS PRODUCTS LTD,0.01,1,,,0,10.0,INE514G01019,29.45,4.05,294.9,4.05,,,,0,0,0,5.7,4.7,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,CREWBOS
59,59,00,DABPHA,EQ,FRESENIUS KABI ONCOLOGY LIMITE,0.01,1,,,0,1.0,INE575G01010,154.0,94.35,194.0,27.0,,,,0,0,0,159.0,106.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,FKONCO
60,60,00,DECCHR,BE,DECCAN CHRONICLE HOLDINGS LTD,0.01,1,,,0,2.0,INE137G01027,56.6,4.8,270.9,4.8,,,,0,0,0,5.9,5.4,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,DCHL
61,61,00,GEOWIL,BE,WILLIAMSON TEA ASSAM LIMITED,0.01,1,,,0,10.0,INE222A01012,428.0,133.8,428.0,46.2,,,,0,0,0,343.7,229.15,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GEORGWILIM
62,62,00,GSLNOV,EQ,GSL NOVA PETROCHEMICALS LIMITE,0.01,1,,,0,5.0,INE787A01022,1.8,0.7,107.95,0.7,,,,0,0,0,1.6,1.5,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GSLNOVA
63,63,00,HANERA,BE,HANIL ERA TEXTILES LTD,0.01,1,,,0,10.0,INE021D01012,69.75,19.9,69.75,2.6,,,,0,0,0,26.4,17.6,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,HANILERA
64,64,00,HINSPI,BE,HINDOOSTAN SPG & WEA MILL,0.01,1,,,0,10.0,INE066D01017,43.5,9.0,43.5,1.3,,,,0,0,0,36.2,24.15,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,HINDSPG
65,65,00,INFTE,EQ,INFORMATION TECH INDIA LT,0.01,1,,,0,5.0,INE569A01024,57.95,3.45,1499.5,3.45,,,,0,0,0,5.2,3.5,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ITIL
66,66,00,JINDRI,EQ,JINDAL,0.01,1,,,0,10.0,INE742C01015,430.0,165.0,0.0,0.0,,,,0,0,0,335.1,303.15,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,JINDALDRIL
67,67,00,KOJFIN,EQ,KOJAM FININVEST LIMITED,0.01,1,,,0,10.0,INE336G01017,293.4,141.15,299.0,12.0,,,,0,0,0,349.4,232.95,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,KOJAMFIN
68,68,00,RPGCAB,EQ,RPG CABLES LTD,0.01,1,,,0,10.0,INE145A01015,30.45,10.8,182.5,5.3,,,,0,0,0,33.4,22.25,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,RPGCABLES
69,69,00,SHRINV,EQ,SHRIRAM INVESTMENTS LTD,0.01,1,,,0,10.0,INE401A01012,128.95,31.65,128.95,1.75,,,,0,0,0,119.9,98.1,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SHRIRAMINV
70,70,00,SHRIRA,BE,SHRI RAMRUPAI BALAJI STEELS LT,0.01,1,,,0,10.0,INE977G01018,60.7,13.5,60.7,11.45,,,,0,0,0,57.8,52.3,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,BALASTEELS
71,71,00,THEJEY,BE,THE JEYPORE SUGAR COMPANY LTD,0.01,1,,,0,10.0,INE180E01014,128.5,69.0,240.0,63.0,,,,0,0,0,92.75,83.95,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,JEYPORE
72,72,00,VIDINT,EQ,VIDEOCON INTERNATIONAL LT,0.01,1,,,0,10.0,INE341A01010,111.4,50.5,180.0,16.0,,,,0,0,0,101.1,67.4,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,VDOCONINTL
73,73,000,SURELE,EQ,TORRENT POWER SEC LIMITED,0.01,1,,,0,10.0,INE054B01017,704.2,336.0,704.2,48.0,,,,0,0,0,583.15,527.6,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,TORRENTSEC
74,74,1,GOLPOW,SM,GOLDSTAR POWER LIMITED,0.01,1,,,0,10.0,INE405Y01013,0.0,0.0,43.0,19.7,,,,0,0,0,36.15,32.75,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GOLDSTAR
75,75,10,ABAOFF,EQ,ABAN OFFSHORE LTD,0.01,1,,,0,2.0,INE421A01028,74.7,36.0,5416.0,2.48,,,,0,0,0,54.4,36.3,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ABAN
76,76,100,AMARAJ,EQ,AMARA RAJA BATTERIES LTD,0.01,1,,,0,1.0,INE885A01032,781.6,438.05,1128.0,2.8,,,,0,0,0,526.0,430.4,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,AMARAJABAT
77,77,10003,INDSE,BE,INDIAN SEAMLESS STEELS &,0.01,1,,,0,10.0,INE879C01015,3.95,0.6,22.1,0.6,,,,0,0,0,2.4,1.6,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ISSAL
78,78,10009,SHRVIN,BE,SHREE VINDHYA PAPER MILLS,0.01,1,,,0,10.0,INE210D01011,15.25,4.15,120.0,1.6,,,,0,0,0,6.05,4.05,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SHRVINDPPR
79,79,10032,SHRLA,BE,SHRI LAKSHMI COTSYN LIMITED,0.01,1,,,0,10.0,INE851B01016,19.5,2.35,201.0,2.35,,,,0,0,0,3.4,3.1,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SHLAKSHMI
80,80,10033,SIRPAP,BE,SIRPUR PAPER MILLS LTD,0.01,1,,,0,10.0,INE202C01010,21.95,9.15,157.65,9.15,,,,0,0,0,8.6,7.8,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SIRPAPER
81,81,10053,RAMPOL,BE,RAMGOPAL POLYTEX LTD,0.01,1,,,0,10.0,INE410D01017,5.0,1.55,23.0,0.55,,,,0,0,0,1.6,1.5,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,RAMGOPOLY
82,82,10074,EMAPAP,EQ,EMAMI PAPER MILLS LIMITED,0.01,1,,,0,2.0,INE830C01026,214.5,113.35,0.0,0.0,,,,0,0,0,181.2,120.8,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,EMAMIPAP
83,83,1008,FACT,EQ,FERTILIZERS AND CHEMICALS TRAV,0.01,1,,,0,10.0,INE188A01015,159.9,82.35,159.9,0.4,,,,0,0,0,122.4,81.6,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,FACT
84,84,10097,GUJRAF,BE,GUJARAT RAFFIA IND LTD,0.01,1,,,0,10.0,INE610B01024,51.55,27.5,84.95,1.05,,,,0,0,0,31.95,28.95,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GUJRAFFIA
85,85,10099,GODCON,EQ,GODREJ CONSUMER PRODUCTS LTD,0.01,1,,,0,1.0,INE102D01028,1138.0,660.05,1138.0,8.05,,,,0,0,0,952.45,779.35,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GODREJCP
86,86,1011,FAGBEA,EQ,SCHAEFFLER INDIA LIMITED,0.01,1,,,0,2.0,INE513A01022,2580.65,1064.07,2580.65,4.6,,,,0,0,0,2949.95,1966.65,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SCHAEFFLER
87,87,10116,MANDIN,BE,GB GLOBAL LIMITED,0.01,1,,,0,10.0,INE087J01028,10.35,4.0,344.95,2.25,,,,0,0,0,9.75,8.85,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GBGLOBAL
88,88,10159,ORICON,EQ,ORICON ENTERPRISES LTD,0.01,1,,,0,2.0,INE730A01022,45.0,22.5,266.0,8.65,,,,0,0,0,31.7,21.2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ORICONENT
89,89,10176,SBINIF,EQ,SBI-ETF NIFTY 50,0.01,1,,,0,10.0,INF200KA1FS1,196.54,156.7,196.54,68.4,,,,0,0,0,201.13,134.09,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SETFNIF50
