,index,Token,ShortName," ""Series""",CompanyName,ticksize," ""Lotsize"""," ""DateOfListing"""," ""DateOfDeListing"""," ""IssuePrice"""," ""FaceValue"""," ""ISINCode"""," ""52WeeksHigh"""," ""52WeeksLow"""," ""LifeTimeHigh"""," ""LifeTimeLow"""," ""HighDate"""," ""LowDate"""," ""Symbol"""," ""InstrumentType"""," ""PermittedToTrade"""," ""IssueCapital"""," ""WarningPercent"""," ""FreezePercent"""," ""CreditRating"""," ""IssueRate"""," ""IssueStartDate"""," ""InterestPaymentDate"""," ""IssueMaturityDate"""," ""BoardLotQty"""," ""Name"""," ""ListingDate"""," ""ExpulsionDate"""," ""ReAdmissionDate"""," ""RecordDate"""," ""ExpiryDate"""," ""NoDeliveryStartDate"""," ""NoDeliveryEndDate"""," ""MFill"""," ""AON"""," ""ParticipantInMarketIndex"""," ""BookClsStartDate"""," ""BookClsEndDate"""," ""EGM"""," ""AGM"""," ""Interest"""," ""Bonus"""," ""Rights"""," ""Dividends"""," ""LocalUpdateDateTime"""," ""DeleteFlag"""," ""Remarks"""," ""NormalMarketStatus"""," ""OddLotMarketStatus"""," ""SpotMarketStatus"""," ""AuctionMarketStatus"""," ""NormalMarketEligibility"""," ""OddLotlMarketEligibility"""," ""SpotMarketEligibility"""," ""AuctionlMarketEligibility"""," ""MarginPercentage"""," ""ExchangeCode"""
0,0,0,ALFLAV,EQ,ALFA LAVAL (INDIA) LIMITED,0.01,1,,,0,10.0,INE427A01017,3949.95,1342.5,3949.95,73.0,,,,0,0,0,4736.3,3157.6,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ALFALAVAL
1,1,0,ALPFIN,BE,ALPIC FINANCE LTD,0.01,1,,,0,10.0,INE429A01013,52.9,4.0,305.0,4.0,,,,0,0,0,9.0,6.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ALPICFIN
2,2,0,ANDBAN,EQ,ANDHRA BANK,0.01,1,,,0,10.0,INE434A01013,33.65,7.65,189.9,7.3,,,,0,0,0,10.9,7.3,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ANDHRABANK
3,3,0,APLAB,EQ,APLAB LTD,0.01,1,,,0,10.0,INE273A01015,50.0,21.95,51.0,18.05,,,,0,0,0,32.55,29.45,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,APLAB
4,4,0,BANRAJ,EQ,THE BANK OF RAJASTHAN LTD,0.01,1,,,0,10.0,INE320A01014,213.95,54.25,213.95,5.33,,,,0,0,0,233.9,191.35,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,BANKRAJAS
5,5,0,BELCER,EQ,BELL CERAMICS LIMITED,0.01,1,,,0,10.0,INE403A01026,11.8,5.45,0.0,0.0,,,,0,0,0,10.4,6.95,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,BELCERAMIC
6,6,0,BLOPLA,EQ,BLOW PLAST LTD,0.01,1,,,0,10.0,INE051A01015,152.4,72.25,152.4,7.5,,,,0,0,0,124.0,82.65,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,BLOWPLAST
7,7,0,BRARET,BE,BRANDHOUSE RETAILS LIMITED,0.01,1,,,0,10.0,INE317J01011,4.25,0.9,106.0,0.9,,,,0,0,0,0.5,0.4,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,BRANDHOUSE
8,8,0,COMINT,EQ,COMPUTECH INTL LTD.,0.01,1,,,0,5.0,INE751A01028,5.75,2.55,232.13,2.3,,,,0,0,0,3.1,2.1,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,COMPUTECH
9,9,0,CORHEA,BE,CORE HEALTHCARE LTD,0.01,1,,,0,10.0,INE494A01017,30.7,6.7,372.5,3.0,,,,0,0,0,10.6,7.1,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,COREPARENT
10,10,0,CYBINF,EQ,CYBERSPACE INFOSYS,0.01,1,,,0,2.0,INE063B01026,1480.0,1.0,296.0,1.0,,,,0,0,0,1.5,1.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,CYBERSPACE
11,11,0,DCLPOL,EQ,CENTRAL INDIA POLYESTERS LTD,0.01,1,,,0,10.0,INE496A01020,0.0,0.0,58.0,1.0,,,,0,0,0,15.5,10.35,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,CIPL
12,12,0,DHATEC,BE,DHANUS TECHNOLOGIES LIMITED,0.01,1,,,0,10.0,INE406H01016,2.25,0.05,117.65,0.05,,,,0,0,0,0.15,0.05,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,DHANUS
13,13,0,DISPHA,EQ,DISHMAN PHARMACEUTICALS & CHEM,0.01,1,,,0,2.0,INE353G01020,347.0,127.95,347.0,16.9,,,,0,0,0,361.4,241.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,DISHMAN
14,14,0,ESSSTE,EQ,ESSAR STEEL LTD,0.01,1,,,0,10.0,INE127A01021,78.2,31.1,115.0,2.35,,,,0,0,0,62.2,41.45,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ESTL
15,15,0,HERCHE,EQ,SI GROUP INDIA LIMITED,0.01,1,,,0,10.0,INE547A01012,69.9,13.9,91.4,13.37,,,,0,0,0,76.4,62.5,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SIGROUPIND
16,16,0,HINDOR,BE,HINDUSTAN DORR-OLIVER LIMITED,0.01,1,,,0,2.0,INE551A01022,10.5,1.25,159.4,0.67,,,,0,0,0,1.3,1.2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,HINDDORROL
17,17,0,HININK,EQ,MICRO INKS LIMITED,0.01,1,,,0,10.0,INE056A01014,754.8,139.0,798.0,83.3,,,,0,0,0,764.65,509.8,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,MICRO
18,18,0,HINLC,EQ,HIND LEVER CHEMICALS LTD,0.01,1,,,0,10.0,INE336A01010,380.0,167.0,679.9,129.0,,,,0,0,0,382.45,255.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,HINDLEVCHM
19,19,0,HUGSOF,EQ,FLEXTRONICS SOFTWARE SYSTEMS,0.01,1,,,0,5.0,INE801A01021,799.0,461.0,2438.5,125.15,,,,0,0,0,867.6,578.4,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,FSS
